Too Much Information,,,,
Already primed in memory or repeated often,,,,
When something has changed,,the first number/idea you see becomes a reference point that biases later judgments.,"1. Original price makes a sale look amazing.
2. First trials in an experiment that were great make the following fails seem terrible
3. Starting bid shapes the final price.
4. First impression anchors your opinion of someone.
5. Suggested donation sets what feels ânormal.â","1. You estimate before seeing any numbers.
2. You use independent benchmarks.
3. You ignore irrelevant anchors (random numbers).
4. You adjust a lot with new evidence.
5. You use ranges + outside data."
,Anchoring,updating beliefs too slowly when new evidence arrives.,"A jacket is labeled â$300â then discounted to $180, and it feels âcheapâ because you anchored on $300.
You hear someone suggest âaround 2 hours,â and your estimate stays near 2 hours even after new info.
The first salary number mentioned in negotiation pulls your counteroffer toward it.
After seeing a $2,000 phone, a $1,200 phone feels âreasonableâ (anchored on the first price).
A random âspin-the-wheelâ number influences how many countries you guess are in Africa.","1. You update quickly when evidence is strong.
2. You set rules: âif X, then change to Y.â
3. You revisit assumptions and revise.
4. You run small tests to learn.
5. You admit âI was wrongâ and adjust."
,Conservatism,judging something based on comparison to what you just saw rather than on its own.,"1. Average song seems great after terrible ones.
2. Lukewarm water feels hot after cold.
3. A 7/10 essay looks amazing after a 2/10.
4. A normal room seems messy after a spotless one.
5. no make up looks terrible after a makeup","1. You use a fixed rubric/standard.
2. You randomize order when judging.
3. You take breaks between evaluations.
4. You compare to benchmarks, not the previous item.
5. Your ratings stay stable across sequences."
,Contrast effect,exaggerating differences when options are compared side-by-side; differences matter less separately.,"1. A/B headphones seem very different, but later you canât tell.
2. You stress over the scratch on the lense of a old camera you didnt noti when compared to a brand new one
3. You overpay for a minor upgrade you rarely notice wehn you see a slightly better one
4. You choose a school for a tiny ranking difference.
5. You spend forever choosing between near-identical options.","1. You think in real-life use: âWill I notice daily?â
2. You test options separately over time.
3. You focus on big differences that matter.
4. You set a âgood enoughâ threshold.
5. You choose based on fit/values, not micro-gaps."
,Distinction bias,overweighting one key feature and ignoring other important factors in decisions.,"1. Picking a phone only for camera megapixels.
2. Choosing a college only for ranking.
3. Buying shoes only for brand name.
4. Judging a person by one awkward moment.
5. Picking a restaurant only for price.","1. You use a multi-factor checklist.
2. You weight several criteria (cost, quality, fit).
3. You consider tradeoffs explicitly.
4. You do a pros/cons grid.
5. You ask what matters long-term, not just one feature."
,Focusing effect,"choices change depending on how the same information is presented (gain vs loss, wording).","1. â90% survivalâ feels better than â10% death.â
2. âSave $20â feels different than âavoid losing $20.â
3. âLimited timeâ makes you rush.
4. âOne in 100â feels scarier than â1%.â
5. âMost people choose Aâ nudges you to A.","1. You restate the info in both frames.
2. You convert to the same numbers/units.
3. You decide using your goals, not wording.
4. You ask: âWhat are the actual outcomes?â
5. Your choice stays the same across frames."
,Framing effect,thinking in ânominalâ money (numbers) instead of real value (inflation/purchasing power).,"1. Feeling richer after a raise that doesnât beat inflation.
2. Preferring $110 today over $100 yesterday without inflation context.
3. Thinking prices âwent upâ but wages did too.
4. Saving cash long-term ignoring inflation erosion.
5. Comparing salaries across years without adjusting inflation.","1. You adjust for inflation (real terms).
2. You compare purchasing power (what it buys).
3. You use ârealâ returns not nominal returns.
4. You check cost-of-living differences.
5. You track inflation rates alongside pay/prices."
,Money illusion,perceived change in sensation is proportional to the starting level; sensitivity follows a logarithmic-ish pattern.,"1. A 1kg increase feels bigger from 5â6kg than 50â51kg.
2. Small light changes are obvious in darkness but not in daylight.
3. A small sound increase is noticeable in quiet but not in loud noise.
4. Price increases feel bigger for cheap items than luxury ones.
5. Adding 1 friend to a small group feels bigger than to a huge crowd.","1. You measure objectively (units) rather than âfeltâ change.
2. You compare percentage change, not absolute feelings.
3. You use instruments (decibel meter, scale).
4. You anticipate diminishing sensitivity at high levels.
5. You calibrate with consistent baselines."
,Weber-Fechner law,favoring information that supports your existing beliefs and ignoring conflicting evidence.,"1. Only reading articles that agree with you.
2. Noticing âproofâ for your opinion but dismissing counter-data.
3. Remembering wins and forgetting misses.
4. Interpreting mixed results as supportive.
5. Following social media accounts that reinforce your view.","1. You actively search for disconfirming evidence.
2. You ask âWhat would change my mind?â
3. You steelman the opposite side.
4. You use balanced sources and data.
5. You update when evidence contradicts you."
Confirming our existing beliefs,,judging something as better/more true because it âfitsâ with what you already think/feel.,"1. A claim feels true because it matches your worldview.
2. You trust a theory because it aligns with your values.
3. You accept a stereotype because it âseems right.â
4. You prefer arguments that match your mood.
5. You rate a story believable because itâs consistent with your expectations.","1. You separate âfeels rightâ from âis true.â
2. You ask for evidence beyond fit.
3. You test predictions against reality.
4. You consider alternative explanations.
5. You change your view despite discomfort."
,Confirmation bias,"after buying/choosing, you justify it to reduce regret and cognitive dissonance.","1. âThis expensive thing was totally worth itâ (even if it wasnât).
2. You ignore flaws after purchasing.
3. You convince yourself you âneededâ it.
4. You rewrite your reasons after the fact.
5. You defend the purchase when someone questions it.","1. You admit tradeoffs and flaws openly.
2. You return/refund when itâs not right.
3. You evaluate with pre-set criteria after buying.
4. You separate ego from the decision.
5. You seek reviews/feedback honestly after purchase."
,Congruence bias,remembering your choices as better than they were and rejecting alternatives more than justified.,"1. âMy school choice was clearly the best.â
2. You exaggerate how bad the rejected options were.
3. You recall only the upsides of what you picked.
4. You downplay missed opportunities.
5. You become more loyal to your chosen team/brand.","1. You can list pros/cons of chosen and rejected options fairly.
2. You accept that multiple options were good.
3. You review your original reasons accurately.
4. You donât insult alternatives to feel better.
5. Youâd switch if new info showed itâs better."
,Post-purchase rationalization,a specific form of hindsight/choice bias: you remember your choice more positively and alternatives more negatively.,"1. After voting, you think your candidate was âobviously best.â
2. After picking a partner, you see others as less compatible.
3. After choosing a project topic, others seem boring.
4. After picking a route, other routes âwouldâve been worse.â
5. After selecting a phone, other brands seem inferior.","1. You acknowledge uncertainty at the time.
2. You compare using evidence, not loyalty.
3. You avoid rewriting history to feel consistent.
4. You keep notes of why you chose it.
5. You stay open to revising future choices."
,Choice-supportive bias,noticing and interpreting information in ways that match your expectations (what you âlook forâ is what you âseeâ).,"1. Expect rudeness â you notice neutral comments as rude.
2. Think youâre bad at math â notice mistakes more than successes.
3. Believe a class is boring â notice every dull moment.
4. Assume a place is unsafe â focus on suspicious cues.
5. Expect a friend to ignore you â interpret late replies as rejection.","1. You consider multiple interpretations.
2. You ask for clarification instead of assuming.
3. You gather more data over time.
4. You use objective measures (rubrics, logs).
5. You check your assumption with the person."
,Selective perception,a researcher/observerâs expectations influence what they notice and record.,"1. Teacher expects a student to do poorly â grades harsher.
2. Coach expects laziness â notices only low effort.
3. Doctor expects anxiety â overlooks physical causes.
4. Judge expects arrogance â interprets confidence as disrespect.
5. Researcher expects effect â records ambiguous data as positive.","1. Blind/double-blind procedures.
2. Pre-registered criteria for scoring.
3. Multiple independent raters.
4. Use standardized rubrics.
5. Actively look for disconfirming observations."
,Observer expectancy effect,a type of expectancy bias where the experimenter unintentionally influences participants/outcomes.,"1. Giving subtle hints to âcorrectâ answers.
2. Different tone/body language changes participant responses.
3. Leading questions in an interview study.
4. Smiling more when the ârightâ behavior appears.
5. Recording borderline results as success.","1. Double-blind design.
2. Scripted instructions only.
3. Automated measurements.
4. Separate data collection from analysis.
5. Independent replication."
,Experimenterâs bias,people change behavior because they know theyâre being observed or measured.,"1. Work faster when the teacher walks by.
2. Eat healthier during a diet study.
3. Drive more carefully with a dashcam.
4. Perform better when being graded live.
5. Act ânicerâ when a parent watches.","1. Unobtrusive measures (anonymous, passive).
2. Long-term observation so it fades.
3. Hidden/neutral observation when ethical.
4. Compare to baseline behavior logs.
5. You behave the same even when watched."
,Observer effect,"general tendency: expectations shape perception, interpretation, and memory.","1. Expect an exam to be hard â anxiety makes it feel harder.
2. Expect a movie to be bad â you notice flaws.
3. Expect pain from a shot â it hurts more.
4. Expect someone to be mean â you see sarcasm in neutral words.
5. Expect a stock to rise â you interpret news as bullish.","1. You hold expectations lightly and test them.
2. You gather evidence before concluding.
3. You consider alternative explanations.
4. You separate feelings from facts.
5. You update expectations when data changes."
,Expectation bias,"avoiding information you find unpleasant, even if itâs important.","1. Not checking bank balance to avoid stress.
2. Ignoring a bad grade email.
3. Avoiding health test results.
4. Not reading feedback on your work.
5. Refusing to look at market losses.","1. You face the data early to act.
2. You schedule check-ins (finance/grades/health).
3. You get support to process bad news.
4. You turn info into an action plan.
5. You prefer knowing over avoiding."
,Ostrich effect,believing a statement is true because it feels personally meaningful (âit fits meâ).,"1. Horoscopes feel accurate to you.
2. Personality tests seem âspot onâ without evidence.
3. You accept vague âpredictionsâ as true.
4. You think a quote is about you specifically.
5. You see patterns/messages in random events.","1. You look for specific, testable claims.
2. You compare to base rates (âWould fit anyone?â).
3. You ask for evidence beyond feelings.
4. You test predictions over time.
5. You accept uncertainty when evidence is weak."
,Subjective validation,misinformation continues to influence thinking even after correction.,"1. You remember the rumor, not the correction.
2. A retracted news story still shapes your opinion.
3. âIt was debunkedâ but it still âfeelsâ true.
4. You repeat the false claim accidentally later.
5. First explanation sticks even after update.","1. You replace it with a clear alternative explanation.
2. You repeat the correction more than the myth.
3. You avoid restating the myth unnecessarily.
4. You cite reliable sources when correcting.
5. You update your mental model explicitly."
,Continued influence effect,rejecting new ideas automatically because they challenge established beliefs/practices.,"1. Dismissing handwashing because âweâve never done that.â
2. Rejecting a new method without testing.
3. Calling new evidence ânonsenseâ instantly.
4. Refusing to change study habits despite proof.
5. Rejecting innovation because it feels threatening.","1. You test new ideas with small trials.
2. You ask âWhat evidence supports/contradicts this?â
3. You separate identity from beliefs.
4. You update when results show improvement.
5. You stay curious rather than defensive."
,Semmelweis reflex,rejecting new evidence/ideas automatically because they conflict with existing beliefs or traditions.,"Doctors dismiss handwashing evidence because âweâve never needed it.â
A teacher rejects a new grading method without trying it.
Someone refuses climate data because it clashes with their worldview.
A company ignores a better workflow because itâs ânot how we do things.â
You reject a study tip just because itâs different from your habit.","You test the new idea in a small trial first.
You ask âWhat evidence supports this?â before rejecting it.
You separate âunfamiliarâ from âwrong.â
You update beliefs when results consistently improve outcomes.
You stay curious and compare alternatives using the same standard."
Flaw in others more easy to see than in ourselves,,,,
,Bias blind spot,seeing biases in others but not in yourself; thinking youâre more objective than other people.,"1. You say âeveryone else is biasedâ but assume your view is just facts.
2. You spot confirmation bias in a friend but not when you do it.
3. You think ads manipulate others, not you.
4. You judge othersâ mistakes as âirrational,â yours as âreasonable.â
5. You believe youâre less influenced by social media than classmates.","You catch yourself saying âIâm being objective,â then you pause and ask, âWhat would change my mind?â
You invite a friend to critique your argument and you actually revise it after their feedback.
You run the same decision through a checklist (pros/cons, base rates, alternatives) even when you feel âsure.â
You notice youâre harsher on othersâ mistakes than your own, and you correct for it (âsame standardâ).
You keep a âtimes I was wrongâ note and use it to spot patterns in your thinking."
,NaÃ¯ve cynicism,"assuming other peopleâs actions are driven by selfish motives (cynical explanations), even when kinder explanations fit.","1. Someone compliments you â âthey want something.â
2. A friend helps you â âtheyâre trying to look good.â
3. A teacher gives advice â âtheyâre controlling.â
4. A classmate shares notes â âtheyâre fishing for info.â
5. A charity post â âjust for clout.â","Someone compliments your work and you accept it at face value instead of assuming they want something.
A classmate offers help and you take it as genuine support, not manipulation.
You interpret a late reply as âtheyâre busy,â not âtheyâre ignoring me on purpose.â
You see a charity fundraiser and check transparency/evidence rather than assuming itâs a scam.
You assume most people mean what they say unless thereâs clear evidence otherwise."
,NaÃ¯ve realism,"believing you see the world objectively, and people who disagree are uninformed/irrational/biased.","1. âIf they disagree, they didnât read the facts.â
2. You think your political view is just common sense.
3. Group argument: you assume youâre the only logical one.
4. You treat your opinions as reality, not perspective.
5. Youâre shocked others interpret the same event differently.","You say âThis is how I see it,â instead of âThis is how it is,â and you ask how others interpret it.
Two people watch the same event and disagree; you treat both views as plausible, not âone must be lying.â
You separate facts from interpretations (âHe didnât replyâ vs âHe doesnât careâ).
You notice your mood changes your judgment and you wait before making a final call.
You update your belief after new evidence, even if your first impression felt âobviously true.â"
